,mql_id,first_contact_date,landing_page_id,origin,seller_id,sdr_id,sr_id,won_date,business_segment,lead_type,lead_behaviour_profile,has_company,has_gtin,average_stock,business_type,declared_product_catalog_size,declared_monthly_revenue,order_id,order_item_id,product_id,shipping_limit_date,price,freight_value,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
0,dac32acd4db4c29c230538b72f8dd87d,2018-02-01,88740e65d5d6b056e0cda098e1ea6313,social,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8c18d1de7f67e60dbd64e3c07d7e9d5d,2017-10-20,007f9098284a86ee80ddeb25d53e0af8,paid_search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,b4bc852d233dfefc5131f593b538befa,2018-03-22,a7982125ff7aa3b2054c6e44f9d28522,organic_search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6be030b81c75970747525b843c1ef4f8,2018-01-22,d45d558f0daeecf3cccdffe3c59684aa,email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5420aad7fec3549a85876ba1c529bd84,2018-02-21,b48ec5f3b04e9068441002a19df93c6c,organic_search,2c43fb513632d29b3b58df74816f1b06,a8387c01a09e99ce014107505b92388c,4ef15afb4b2723d8f3d81e51ec7afefe,2018-02-26 19:58:54,pet,online_medium,cat,,,,reseller,,0.0,1efcc6ba75b519535a510c53153a9256,1.0,e94df75b2e9a8b056be0c144a731f55c,2018-06-26 22:20:21,94.2,18.76,pet_shop,56.0,1538.0,2.0,625.0,23.0,17.0,19.0,pet_shop,5763c4c80bb958960d2d9091dd3dd86e,5.0,Bebedouro,Gostei muito! Logo vou adquir o de maiorr volume! Parabéns!,2018-06-27 00:00:00,2018-06-30 17:14:07
5,5420aad7fec3549a85876ba1c529bd84,2018-02-21,b48ec5f3b04e9068441002a19df93c6c,organic_search,2c43fb513632d29b3b58df74816f1b06,a8387c01a09e99ce014107505b92388c,4ef15afb4b2723d8f3d81e51ec7afefe,2018-02-26 19:58:54,pet,online_medium,cat,,,,reseller,,0.0,d8d281c1a1398a1e835fdc4adfb81e2a,1.0,9e0873e9ac04b12f282b81af5daebd2e,2018-07-30 09:31:49,664.0,38.41,ferramentas_jardim,25.0,432.0,1.0,2825.0,29.0,29.0,29.0,garden_tools,5937d81cf570dcd7fd4fe8f5c9c293bc,1.0,Serviço de baixa qualidad,"Recebi o produto errado.
Comprei um Soprador para Pet e recebi um bebedouro para Pet com a NF em nome de outra pessoa",2018-07-28 00:00:00,2018-07-28 23:33:39
6,5420aad7fec3549a85876ba1c529bd84,2018-02-21,b48ec5f3b04e9068441002a19df93c6c,organic_search,2c43fb513632d29b3b58df74816f1b06,a8387c01a09e99ce014107505b92388c,4ef15afb4b2723d8f3d81e51ec7afefe,2018-02-26 19:58:54,pet,online_medium,cat,,,,reseller,,0.0,e5858127da61f07285827883e605254b,1.0,9bb2d066e4b33b624cbdfec7d50b3dcb,2018-06-27 16:00:04,99.8,15.0,pet_shop,53.0,1494.0,2.0,900.0,26.0,19.0,23.0,pet_shop,b8e55f84a8b1dbfd424e7d03e743f0f5,5.0,,,2018-06-26 00:00:00,2018-06-28 19:55:07
7,28bdfd5f057764b54c38770f95c69f2f,2018-01-14,22c29808c4f815213303f8933030604c,organic_search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,126a0d10becbaafcb2e72ce6848cf32c,2018-05-15,6a110e795dd487f1cf8d7583671987af,email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,f76136f54d14a3345951f25b7932366b,2018-05-24,d51b0d02f063ba1d053db6d97226eec3,email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2f838cade4a6012a6cb1016d1d8d95ed,2017-11-10,aeac92c0f5ae22a04ed3b746cce3a1b6,organic_search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7281942387a1a0c3f72a50a8b0bb0920,2017-12-25,88740e65d5d6b056e0cda098e1ea6313,social,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,c534e2f89539e866011e1e75adfefbfb,2018-01-24,f017be4dbf86243af5c1ebed0cff36a2,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,c3764ab3fed8fbf556c87fdeaea744a9,2018-04-30,35c9b150ab36fe584c1f24fd458c453a,paid_search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
